No.,UC ID,Module,Use Case Name,Actor(s),Short Description,Related FR,,,,,
79,UC-79,AI Features,Export AI-Generated File,CREATOR,Export generated files (images/videos) from the system to the user's device.,3.7.8,,,,,
80,UC-80,AI Features,Configure Trend Crawl Schedule,ADMIN,"Configure timing, source pages, and volume per run for the crawler that collects trending keyword data.",3.7.9,,,,,
81,UC-81,AI Features,Generate Livestream Script with AI,CREATOR,Use AI to generate a sample script for a livestream session.,3.7.11,,,,,
82,UC-82,AI Features,Recommend Media Collaborator,CREATOR,"AI recommends third parties (online newspapers, banner ad channels, TV channels) as media partners for the campaign.",3.7.12,,,,,
83,UC-83,Publishing & Social,Connect/Disconnect Social Account,CLIENT,Connect a social media account for automated posting; disconnect when needed.,"3.8.1, 3.8.2",,,,,
84,UC-84,Publishing & Social,View Post Dashboard,All roles,View the overview dashboard of successfully published posts across the Workspace.,3.8.3,,,,,
85,UC-85,Publishing & Social,View Post Detail & Comments,All roles,"View post details (reactions, shares) and the list of comments on that post.","3.8.4, 3.8.5",,,,,
86,UC-86,Publishing & Social,"Preview, Schedule & Track Post Status",CREATOR/MANAGER,"Preview post layout per platform, schedule posts, and track progress status (Pending/In Progress/Done/Fail).","3.8.6, 3.8.7, 3.8.8",,,,,
87,UC-87,Publishing & Social,Publish to Facebook,System/CREATOR,"Push a Post, Story, or Reels to Facebook.","3.8.9, 3.8.10, 3.8.11",,,,,
88,UC-88,Publishing & Social,Publish to Instagram,System/CREATOR,"Push a Post, Reels, or Story to Instagram.","3.8.12, 3.8.13, 3.8.14",,,,,
89,UC-89,Publishing & Social,Publish to TikTok & Threads,System/CREATOR,Push a short video to TikTok and a post to Threads.,"3.8.15, 3.8.16",,,,,
90,UC-90,Subscription,Upgrade Plan,USER,"Upgrade from the Basic plan to Pro/Enterprise for more Workspaces, AI credits, and advanced features.",3.9.1,,,,,
91,UC-91,Subscription,Downgrade/Cancel Plan,OWNER,Cancel the current plan when no longer needed.,3.9.2,,,,,
92,UC-92,Subscription,Make Payment via PayOS,USER,"Create a payment transaction for plan upgrades or credit purchases, ensuring ACID compliance.",3.9.3,,,,,
93,UC-93,Subscription,View Invoice History,OWNER,View the account's transaction history.,3.9.4,,,,,
94,UC-94,Subscription,View AI Credit Tracking,CREATOR/OWNER,Monitor the amount of AI credit used within the current month.,3.9.5,,,,,
95,UC-95,Subscription,Buy AI Credit,CREATOR/OWNER,Purchase additional AI credit.,3.9.6,,,,,
96,UC-96,Subscription,Set AI Credit Limit,OWNER,Set a spending limit on AI credit usage for Creators.,3.9.7,,,,,
97,UC-97,Admin Management,Send System-Wide Notification,ADMIN,"Create and send notifications to the entire system, optionally segmented by user group.",3.10.1,,,,,
98,UC-98,Admin Management,View Platform Statistics Overview,ADMIN,"View an overview dashboard (users, revenue, active agencies) with charts.",3.10.2,,,,,
99,UC-99,Admin Management,Monitor System Health,ADMIN,"Monitor resource usage (%CPU, %RAM...) and the live status of servers within the microservice system.",3.10.3,,,,,
100,UC-100,Admin Management,Review Content Moderation Queue,ADMIN,View and review content created by Creators that was flagged by the system's moderation policy.,3.10.4,,,,,
101,UC-101,Admin Management,View User List,ADMIN,View the list of users in the system.,3.10.6,,,,,
102,UC-102,Admin Management,Create User,ADMIN,Create a new user account in the system.,3.10.7,,,,,
103,UC-103,Admin Management,Update User,ADMIN,Update an existing user's information.,3.10.8,,,,,
104,UC-104,Admin Management,Deactivate/Disable User,ADMIN,"Verify, disable, or delete a user account.","3.10.5, 3.10.9",,,,,
105,UC-105,Admin Management,View Revenue Dashboard,ADMIN,View system revenue generated from subscription plans and credit purchases.,3.10.11,,,,,
106,UC-106,Admin Management,Export PDF Report,ADMIN,"Export a PDF report for the User Management, Revenue, and other admin pages.",3.10.12,,,,,
